product,description,category,image_path
เสื้อยืดสีขาว,เสื้อยืดผ้าคอตตอนเนื้อนุ่ม ใส่สบาย ระบายอากาศได้ดี,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown.jpeg
เสื้อเชิ้ตแขนยาว,เสื้อเชิ้ตสำหรับทำงาน ผ้าเรียบหรู รีดง่าย,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อฮู้ดกันหนาว,ฮู้ดดี้เนื้อผ้านุ่ม ด้านในบุขน กันลมกันหนาวได้ดี,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อเชิ้ตลายสก็อต,เสื้อเชิ้ตแขนยาวลายสก็อต สวมใส่สบาย ใส่ได้ทุกโอกาส,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อโปโลสีกรม,เสื้อโปโลสำหรับผู้ชาย สีกรมท่า ทรงมาตรฐาน,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อไหมพรมคอเต่า,เสื้อกันหนาวไหมพรมแบบคอเต่า ใส่อุ่นในฤดูหนาว,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อแจ็คเก็ตยีนส์,แจ็คเก็ตยีนส์โอเวอร์ไซส์ สไตล์วินเทจ,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อเชิ้ตลินิน,เสื้อเชิ้ตผ้าลินินเนื้อบางเบา เหมาะกับอากาศร้อน,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
เสื้อคลุมคาร์ดิแกน,เสื้อคาร์ดิแกนไหมพรม ใส่สบาย ให้ลุคอบอุ่น,เสื้อ,/Users/mac/NLP/nlp_project/nlp_store/static/Unknown1.jpeg
กางเกงยีนส์ขาสั้น,กางเกงยีนส์ขาสั้นสำหรับผู้หญิง ดีไซน์ขาดนิดๆ,กางเกง,
กางเกงสแล็ค,กางเกงสแล็คสำหรับทำงาน ทรงเข้ารูป ดูเรียบร้อย,กางเกง,
กางเกงขาเดฟ,กางเกงขายาวทรงเดฟ ใส่กระชับ แฟชั่นสุดๆ,กางเกง,
กางเกงจ๊อกเกอร์,กางเกงจ๊อกเกอร์เอวยางยืด สำหรับลำลองและออกกำลังกาย,กางเกง,
กางเกงขากว้าง,กางเกงขายาวขากว้าง เนื้อผ้าพลิ้ว ใส่สบาย,กางเกง,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,
กางเกงผ้าลินิน,กางเกงขายาวผ้าลินิน น้ำหนักเบา ระบายอากาศดี,กางเกง,
กางเกงเลกกิ้ง,เลกกิ้งสำหรับออกกำลังกาย ผ้ายืดหยุ่นสูง,กางเกง,
กางเกงขาม้า,กางเกงแฟชั่นทรงขาม้า ใส่แล้วดูขายาว,กางเกง,
กางเกงขาสั้นผ้าฝ้าย,กางเกงผ้าฝ้ายขาสั้น ใส่สบาย เหมาะกับอากาศร้อน,กางเกง,
รองเท้าผ้าใบสีขาว,รองเท้าผ้าใบสีขาวล้วน ดีไซน์เรียบ ใส่เข้ากับชุดได้ง่าย,รองเท้า,
รองเท้าแตะสวม,รองเท้าแตะแบบสวม เบาและนุ่ม ใส่สบายทุกวัน,รองเท้า,
รองเท้าหนัง,รองเท้าหนังทรงทางการ ใส่ทำงานหรือโอกาสพิเศษ,รองเท้า,
รองเท้าบูท,รองเท้าบูทหนัง ทรงสูง กันน้ำได้,รองเท้า,
รองเท้ากีฬา,รองเท้าสำหรับวิ่งหรือออกกำลังกาย พื้นรองเท้ายืดหยุ่น,รองเท้า,
รองเท้าส้นสูง,รองเท้าส้นสูงสำหรับผู้หญิง เสริมบุคลิกให้ดูสูงเพรียว,รองเท้า,
รองเท้ารัดส้น,รองเท้ารัดส้นสำหรับเดินเล่น น้ำหนักเบา,รองเท้า,
รองเท้าทรงสลิปออน,รองเท้าแบบสวมไม่มีเชือก สวมใส่สะดวก,รองเท้า,
รองเท้าแตะแบบคีบ,รองเท้าแตะคีบสำหรับใส่เดินชายหาด,รองเท้า,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
หมวกแก๊ปสีดำ,หมวกแก๊ปสีดำเข้ม สายปรับขนาดได้,หมวก,
หมวกบักเก็ต,หมวกบักเก็ตผ้าคอตตอน สวมใส่สบาย กันแดดได้ดี,หมวก,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
หมวกฟาง,หมวกฟางสำหรับใส่เที่ยวทะเล ดีไซน์เก๋ไก๋,หมวก,
หมวกแก๊ปลายลาย,หมวกแก๊ปลายกราฟิก สำหรับแฟชั่นสตรีท,หมวก,
หมวกทรงปีกกว้าง,หมวกปีกกว้างสำหรับกันแดด เหมาะกับกิจกรรมกลางแจ้ง,หมวก,
หมวกเบเร่ต์,หมวกแฟชั่นทรงเบเร่ต์สไตล์ยุโรป,หมวก,
หมวกสาน,หมวกสานผ้าทอมือสำหรับผู้หญิง ใส่แล้วดูเรียบหรู,หมวก,
หมวกเดินป่า,หมวกสำหรับเดินป่า กันแดดและกันฝนได้ดี,หมวก,
หมวกนักกีฬา,หมวกสำหรับใส่ออกกำลังกาย เนื้อผ้าแห้งไว,หมวก,
เสื้อเชิ้ตแขนยาว,เสื้อเชิ้ตสำหรับทำงาน ผ้าเรียบหรู รีดง่าย,เสื้อ,
หมวกสาน,หมวกสานผ้าทอมือสำหรับผู้หญิง ใส่แล้วดูเรียบหรู,หมวก,
หมวกแก๊ปลายลาย,หมวกแก๊ปลายกราฟิก สำหรับแฟชั่นสตรีท,หมวก,
หมวกสาน,หมวกสานผ้าทอมือสำหรับผู้หญิง ใส่แล้วดูเรียบหรู,หมวก,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
รองเท้าบูท,รองเท้าบูทหนัง ทรงสูง กันน้ำได้,รองเท้า,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
กางเกงขาเดฟ,กางเกงขายาวทรงเดฟ ใส่กระชับ แฟชั่นสุดๆ,กางเกง,
หมวกสาน,หมวกสานผ้าทอมือสำหรับผู้หญิง ใส่แล้วดูเรียบหรู,หมวก,
กางเกงยีนส์ขาสั้น,กางเกงยีนส์ขาสั้นสำหรับผู้หญิง ดีไซน์ขาดนิดๆ,กางเกง,
รองเท้าทรงสลิปออน,รองเท้าแบบสวมไม่มีเชือก สวมใส่สะดวก,รองเท้า,
เสื้อไหมพรมคอเต่า,เสื้อกันหนาวไหมพรมแบบคอเต่า ใส่อุ่นในฤดูหนาว,เสื้อ,
หมวกแก๊ปลายลาย,หมวกแก๊ปลายกราฟิก สำหรับแฟชั่นสตรีท,หมวก,
กางเกงจ๊อกเกอร์,กางเกงจ๊อกเกอร์เอวยางยืด สำหรับลำลองและออกกำลังกาย,กางเกง,
รองเท้ากีฬา,รองเท้าสำหรับวิ่งหรือออกกำลังกาย พื้นรองเท้ายืดหยุ่น,รองเท้า,
เสื้อเชิ้ตแขนยาว,เสื้อเชิ้ตสำหรับทำงาน ผ้าเรียบหรู รีดง่าย,เสื้อ,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,
กางเกงขาเดฟ,กางเกงขายาวทรงเดฟ ใส่กระชับ แฟชั่นสุดๆ,กางเกง,
เสื้อยืดสีขาว,เสื้อยืดผ้าคอตตอนเนื้อนุ่ม ใส่สบาย ระบายอากาศได้ดี,เสื้อ,
รองเท้าผ้าใบสีขาว,รองเท้าผ้าใบสีขาวล้วน ดีไซน์เรียบ ใส่เข้ากับชุดได้ง่าย,รองเท้า,
กางเกงสแล็ค,กางเกงสแล็คสำหรับทำงาน ทรงเข้ารูป ดูเรียบร้อย,กางเกง,
เสื้อโปโลสีกรม,เสื้อโปโลสำหรับผู้ชาย สีกรมท่า ทรงมาตรฐาน,เสื้อ,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
เสื้อแจ็คเก็ตยีนส์,แจ็คเก็ตยีนส์โอเวอร์ไซส์ สไตล์วินเทจ,เสื้อ,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
กางเกงขากว้าง,กางเกงขายาวขากว้าง เนื้อผ้าพลิ้ว ใส่สบาย,กางเกง,
หมวกเบเร่ต์,หมวกแฟชั่นทรงเบเร่ต์สไตล์ยุโรป,หมวก,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,
รองเท้าผ้าใบสีขาว,รองเท้าผ้าใบสีขาวล้วน ดีไซน์เรียบ ใส่เข้ากับชุดได้ง่าย,รองเท้า,
รองเท้าแตะแบบคีบ,รองเท้าแตะคีบสำหรับใส่เดินชายหาด,รองเท้า,
หมวกแก๊ปลายลาย,หมวกแก๊ปลายกราฟิก สำหรับแฟชั่นสตรีท,หมวก,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
รองเท้าผ้าใบสีขาว,รองเท้าผ้าใบสีขาวล้วน ดีไซน์เรียบ ใส่เข้ากับชุดได้ง่าย,รองเท้า,
กางเกงสแล็ค,กางเกงสแล็คสำหรับทำงาน ทรงเข้ารูป ดูเรียบร้อย,กางเกง,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
กางเกงขาเดฟ,กางเกงขายาวทรงเดฟ ใส่กระชับ แฟชั่นสุดๆ,กางเกง,
เสื้อเชิ้ตลายสก็อต,เสื้อเชิ้ตแขนยาวลายสก็อต สวมใส่สบาย ใส่ได้ทุกโอกาส,เสื้อ,
หมวกฟาง,หมวกฟางสำหรับใส่เที่ยวทะเล ดีไซน์เก๋ไก๋,หมวก,
เสื้อคลุมคาร์ดิแกน,เสื้อคาร์ดิแกนไหมพรม ใส่สบาย ให้ลุคอบอุ่น,เสื้อ,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
รองเท้าบูท,รองเท้าบูทหนัง ทรงสูง กันน้ำได้,รองเท้า,
รองเท้าหนัง,รองเท้าหนังทรงทางการ ใส่ทำงานหรือโอกาสพิเศษ,รองเท้า,
รองเท้ากีฬา,รองเท้าสำหรับวิ่งหรือออกกำลังกาย พื้นรองเท้ายืดหยุ่น,รองเท้า,
เสื้อเชิ้ตลินิน,เสื้อเชิ้ตผ้าลินินเนื้อบางเบา เหมาะกับอากาศร้อน,เสื้อ,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,
หมวกฟาง,หมวกฟางสำหรับใส่เที่ยวทะเล ดีไซน์เก๋ไก๋,หมวก,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
รองเท้าส้นเตารีด,รองเท้าส้นเตารีดสำหรับลุคที่ดูสง่าและเดินสบาย,รองเท้า,
หมวกแก๊ปลายลาย,หมวกแก๊ปลายกราฟิก สำหรับแฟชั่นสตรีท,หมวก,
หมวกไหมพรม,หมวกไหมพรมถัก เหมาะกับอากาศหนาว,หมวก,
เสื้อครอป,เสื้อยืดครอปแนวแฟชั่น เหมาะกับลุคสตรีท,เสื้อ,
รองเท้ากีฬา,รองเท้าสำหรับวิ่งหรือออกกำลังกาย พื้นรองเท้ายืดหยุ่น,รองเท้า,
กางเกงวอร์ม,กางเกงวอร์มผ้าร่ม ใส่สำหรับออกกำลังกายหรือใส่ในบ้าน,กางเกง,